anio,provincia,departamento,sector,ambito,nivel,matricula_inicial,promovidos,no_promovidos,salidos_sin_pase,ultimo_anio_inscripto,tasa_repitencia,tasa_abandono,tasa_promocion_ef
2024,Buenos Aires,LOBOS,Estatal,Urbano,Secundaria,2569,1887,313,6,2519,12.18,0.23,74.91
2024,Buenos Aires,LOBOS,Privado,Urbano,Primaria,1096,1072,3,0,1095,0.27,0.0,97.9
2024,Buenos Aires,LOBOS,Privado,Urbano,Secundaria,989,874,21,1,987,2.12,0.1,88.55
2024,Buenos Aires,LOMAS DE ZAMORA,Estatal,Urbano,Primaria,43732,41653,993,38,43443,2.27,0.09,95.88
2024,Buenos Aires,LOMAS DE ZAMORA,Estatal,Urbano,Secundaria,45236,27853,6551,285,44716,14.48,0.63,62.29
2024,Buenos Aires,LOMAS DE ZAMORA,Privado,Urbano,Primaria,28863,28364,122,5,28667,0.42,0.02,98.94
2024,Buenos Aires,LOMAS DE ZAMORA,Privado,Urbano,Secundaria,27175,18966,1584,11,26961,5.83,0.04,70.35
2024,Buenos Aires,LUJAN,Estatal,Rural,Primaria,1889,1805,34,0,1878,1.8,0.0,96.11
2024,Buenos Aires,LUJAN,Estatal,Rural,Secundaria,1100,860,102,0,1105,9.27,0.0,77.83
2024,Buenos Aires,LUJAN,Estatal,Urbano,Primaria,6469,6236,183,0,6430,2.83,0.0,96.98
2024,Buenos Aires,LUJAN,Estatal,Urbano,Secundaria,6345,5065,482,10,6321,7.6,0.16,80.13
2024,Buenos Aires,LUJAN,Privado,Urbano,Primaria,3998,3883,15,0,3987,0.38,0.0,97.39
2024,Buenos Aires,LUJAN,Privado,Urbano,Secundaria,3505,2729,72,1,3502,2.05,0.03,77.93
2024,Buenos Aires,MAGDALENA,Estatal,Rural,Primaria,765,724,17,0,772,2.22,0.0,93.78
2024,Buenos Aires,MAGDALENA,Estatal,Rural,Secundaria,388,248,24,3,376,6.19,0.77,65.96
2024,Buenos Aires,MAGDALENA,Estatal,Urbano,Primaria,1421,1312,33,0,1430,2.32,0.0,91.75
2024,Buenos Aires,MAGDALENA,Estatal,Urbano,Secundaria,1941,1520,136,1,2053,7.01,0.05,74.04
